,GAME_ID,MATCHUP,HOME_TEAM,VISITOR_TEAM
17942,0020400918,DEN @ SAS,1610612759,1610612743
17943,0020400884,DEN vs. POR,1610612743,1610612757
17944,0020400866,DEN @ LAC,1610612746,1610612743
17945,0020400852,DEN vs. IND,1610612743,1610612754
17946,0020400806,DEN @ MEM,1610612763,1610612743
17947,0020400772,DEN @ CHA,1610612766,1610612743
17948,0020400750,DEN @ NJN,1610612751,1610612743
17949,0020400724,DEN @ MIN,1610612750,1610612743
17950,0020400714,DEN vs. UTA,1610612743,1610612762
17951,0020400694,DEN vs. GSW,1610612743,1610612744
17952,0020400675,DEN @ POR,1610612757,1610612743
17953,0020400665,DEN vs. NYK,1610612743,1610612752
17954,0020400641,DEN @ IND,1610612754,1610612743
17955,0020400634,DEN @ MIL,1610612749,1610612743
17956,0020400616,DEN @ DET,1610612765,1610612743
17957,0020400581,DEN vs. MEM,1610612743,1610612763
17958,0020400559,DEN @ SEA,1610612760,1610612743
17959,0020400554,DEN @ GSW,1610612744,1610612743
17960,0020400527,DEN vs. MIN,1610612743,1610612750
17961,0020400512,DEN vs. LAL,1610612743,1610612747
17962,0020400503,DEN @ SAC,1610612758,1610612743
17963,0020400491,DEN vs. HOU,1610612743,1610612745
17964,0020400479,DEN @ SAS,1610612759,1610612743
17965,0020400446,DEN vs. LAC,1610612743,1610612746
17966,0020400439,DEN @ LAL,1610612747,1610612743
17967,0020400423,DEN vs. PHI,1610612743,1610612755
17968,0020400400,DEN @ GSW,1610612744,1610612743
17969,0020400376,DEN @ SEA,1610612760,1610612743
17970,0020400357,DEN vs. PHX,1610612743,1610612756
17971,0020400341,DEN @ ORL,1610612753,1610612743
17972,0020400333,DEN @ MIA,1610612748,1610612743
17973,0020400307,DEN @ PHI,1610612755,1610612743
17974,0020400295,DEN @ NYK,1610612752,1610612743
17975,0020400276,DEN @ TOR,1610612761,1610612743
17976,0020400264,DEN @ WAS,1610612764,1610612743
17977,0020400252,DEN vs. ORL,1610612743,1610612753
17978,0020400242,DEN vs. MIA,1610612743,1610612748
17979,0020400189,DEN @ HOU,1610612745,1610612743
17980,0020400178,DEN vs. SAS,1610612743,1610612759
17981,0020400156,DEN vs. NJN,1610612743,1610612751
17982,0020400113,DEN vs. TOR,1610612743,1610612761
17983,0020400095,DEN @ SAC,1610612758,1610612743
17984,0020400071,DEN vs. DET,1610612743,1610612765
17985,0020400057,DEN vs. SEA,1610612743,1610612760
17986,0020400046,DEN @ UTA,1610612762,1610612743
17987,0020400040,DEN vs. UTA,1610612743,1610612762
17988,0020400019,DEN vs. MIN,1610612743,1610612750
17989,0020400003,DEN @ LAL,1610612747,1610612743
17990,0010400115,DEN @ IND,1610612754,1610612743
17991,0010400111,DEN @ HOU,1610612745,1610612743
17992,0010400094,DEN vs. TOR,1610612743,1610612761
17993,0010400085,DEN vs. IND,1610612743,1610612754
17994,0010400064,DEN @ GSW,1610612744,1610612743
17995,0040300145,DEN @ MIN,1610612750,1610612743
17996,0040300144,DEN vs. MIN,1610612743,1610612750
17997,0040300143,DEN vs. MIN,1610612743,1610612750
17998,0040300142,DEN @ MIN,1610612750,1610612743
17999,0040300141,DEN @ MIN,1610612750,1610612743
18000,0020301184,DEN @ SAS,1610612759,1610612743
18001,0020301169,DEN vs. SAC,1610612743,1610612758
18002,0020301153,DEN vs. POR,1610612743,1610612757
18003,0020301143,DEN @ HOU,1610612745,1610612743
18004,0020301130,DEN @ PHX,1610612756,1610612743
18005,0020301098,DEN vs. HOU,1610612743,1610612745
18006,0020301074,DEN vs. SEA,1610612743,1610612760
18007,0020301053,DEN @ UTA,1610612762,1610612743
18008,0020301048,DEN @ SEA,1610612760,1610612743
18009,0020301030,DEN vs. MIN,1610612743,1610612750
18010,0020301016,DEN vs. LAC,1610612743,1610612746
18011,0020301005,DEN @ MIN,1610612750,1610612743
18012,0020300992,DEN @ DET,1610612765,1610612743
18013,0020300962,DEN vs. UTA,1610612743,1610612762
18014,0020300945,DEN @ MIL,1610612749,1610612743
18015,0020300929,DEN @ NJN,1610612751,1610612743
18016,0020300917,DEN @ WAS,1610612764,1610612743
18017,0020300912,DEN vs. IND,1610612743,1610612754
18018,0020300900,DEN vs. DET,1610612743,1610612765
18019,0020300871,DEN vs. NJN,1610612743,1610612751
18020,0020300860,DEN vs. NYK,1610612743,1610612752
18021,0020300854,DEN @ SAS,1610612759,1610612743
18022,0020300831,DEN vs. LAL,1610612743,1610612747
18023,0020300814,DEN @ MEM,1610612763,1610612743
18024,0020300796,DEN @ MIA,1610612748,1610612743
18025,0020300785,DEN @ ORL,1610612753,1610612743
18026,0020300770,DEN vs. PHI,1610612743,1610612755
18027,0020300760,DEN @ POR,1610612757,1610612743
18028,0020300739,DEN vs. MEM,1610612743,1610612763
18029,0020300736,DEN @ SAC,1610612758,1610612743
18030,0020300720,DEN @ GSW,1610612744,1610612743
18031,0020300688,DEN vs. POR,1610612743,1610612757
18032,0020300638,DEN vs. MIN,1610612743,1610612750
18033,0020300633,DEN @ MEM,1610612763,1610612743
18034,0020300603,DEN vs. PHX,1610612743,1610612756
18035,0020300594,DEN @ UTA,1610612762,1610612743
18036,0020300578,DEN vs. MIA,1610612743,1610612748
18037,0020300550,DEN @ LAL,1610612747,1610612743
18038,0020300539,DEN @ PHX,1610612756,1610612743
18039,0020300527,DEN @ SAC,1610612758,1610612743
18040,0020300513,DEN vs. UTA,1610612743,1610612762
18041,0020300500,DEN vs. LAL,1610612743,1610612747
18042,0020300482,DEN vs. SAS,1610612743,1610612759
18043,0020300461,DEN @ POR,1610612757,1610612743
18044,0020300449,DEN @ LAC,1610612746,1610612743
18045,0020300445,DEN vs. TOR,1610612743,1610612761
18046,0020300427,DEN vs. GSW,1610612743,1610612744
18047,0020300411,DEN vs. HOU,1610612743,1610612745
18048,0020300388,DEN vs. MEM,1610612743,1610612763
18049,0020300377,DEN vs. SEA,1610612743,1610612760
18050,0020300369,DEN @ LAL,1610612747,1610612743
18051,0020300355,DEN @ SEA,1610612760,1610612743
18052,0020300320,DEN @ NYK,1610612752,1610612743
18053,0020300309,DEN @ PHI,1610612755,1610612743
18054,0020300266,DEN vs. GSW,1610612743,1610612744
18055,0020300256,DEN @ GSW,1610612744,1610612743
18056,0020300231,DEN @ LAC,1610612746,1610612743
18057,0020300196,DEN vs. PHX,1610612743,1610612756
18058,0020300169,DEN vs. WAS,1610612743,1610612764
18059,0020300159,DEN vs. MIL,1610612743,1610612749
18060,0020300148,DEN @ MIN,1610612750,1610612743
18061,0020300123,DEN vs. ORL,1610612743,1610612753
18062,0020300085,DEN @ TOR,1610612761,1610612743
18063,0020300073,DEN vs. LAC,1610612743,1610612746
18064,0020300048,DEN @ IND,1610612754,1610612743
18065,0020300036,DEN vs. SAC,1610612743,1610612758
18066,0020300017,DEN @ HOU,1610612745,1610612743
18067,0020300011,DEN vs. SAS,1610612743,1610612759
18068,0020201185,DEN vs. HOU,1610612743,1610612745
18069,0020201176,DEN @ LAL,1610612747,1610612743
18070,0020201156,DEN vs. LAC,1610612743,1610612746
18071,0020201149,DEN @ SAC,1610612758,1610612743
18072,0020201121,DEN vs. PHX,1610612743,1610612756
18073,0020201109,DEN @ GSW,1610612744,1610612743
18074,0020201084,DEN vs. NYK,1610612743,1610612752
18075,0020201072,DEN @ PHX,1610612756,1610612743
18076,0020201060,DEN vs. WAS,1610612743,1610612764
18077,0020201052,DEN @ HOU,1610612745,1610612743
18078,0020201030,DEN vs. MIL,1610612743,1610612749
18079,0020200992,DEN @ SEA,1610612760,1610612743
18080,0020200979,DEN @ LAC,1610612746,1610612743
18081,0020200968,DEN @ UTA,1610612762,1610612743
18082,0020200956,DEN vs. SEA,1610612743,1610612760
18083,0020200918,DEN vs. TOR,1610612743,1610612761
18084,0020200903,DEN @ ORL,1610612753,1610612743
18085,0020200894,DEN @ MIA,1610612748,1610612743
18086,0020200876,DEN @ MEM,1610612763,1610612743
18087,0020200857,DEN vs. PHI,1610612743,1610612755
18088,0020200828,DEN vs. POR,1610612743,1610612757
18089,0020200811,DEN vs. GSW,1610612743,1610612744
18090,0020200797,DEN @ UTA,1610612762,1610612743
18091,0020200773,DEN vs. MIN,1610612743,1610612750
18092,0020200767,DEN @ SAS,1610612759,1610612743
18093,0020200727,DEN vs. LAL,1610612743,1610612747
18094,0020200719,DEN @ LAL,1610612747,1610612743
18095,0020200707,DEN vs. SAS,1610612743,1610612759
18096,0020200682,DEN vs. MEM,1610612743,1610612763
18097,0020200641,DEN @ POR,1610612757,1610612743
18098,0020200636,DEN vs. NJN,1610612743,1610612751
18099,0020200621,DEN @ MIL,1610612749,1610612743
18100,0020200594,DEN @ NYK,1610612752,1610612743
18101,0020200577,DEN @ WAS,1610612764,1610612743
18102,0020200548,DEN vs. UTA,1610612743,1610612762
18103,0020200532,DEN @ MIN,1610612750,1610612743
18104,0020200522,DEN @ HOU,1610612745,1610612743
